index,pc,var
88,93,0.0016794858022240937
89,247,0.0016777924420496304
90,147,0.001666499190108633
91,88,0.0016649714215833016
92,72,0.001662403472691734
93,97,0.00165356216388842
94,6,0.0016469003114254837
95,89,0.001644888179768969
96,108,0.0016440326863040805
97,200,0.0016402126341818716
98,68,0.0016401808093364605
99,2,0.001637587846699147
100,11,0.0016144408537677381
101,84,0.001608425106339728
102,198,0.0016053517841607627
103,83,0.0016023603645109036
104,167,0.0015994342407177193
105,51,0.0015975170686560723
106,183,0.0015877547802916983
107,99,0.0015835040222122775
108,160,0.001577686313849425
109,173,0.001563101219708795
110,96,0.00156182739129947
111,22,0.0015399169529346057
112,90,0.001531406588126575
113,192,0.001526795456125533
114,233,0.001525257986124489
115,116,0.0015230396373856064
116,224,0.0015206739251170528
117,253,0.0015157118054538188
118,150,0.0015151790040566404
119,126,0.0015149764058674112
120,46,0.0015131243758523395
121,176,0.0015116258548331517
122,179,0.0015105348135636151
123,205,0.0014994571113499202
124,268,0.0014897536666305467
125,164,0.0014722387758861802
126,182,0.0014665106950875863
127,281,0.0014585750800535108
128,189,0.0014558708489717652
129,109,0.001455090604762585
130,159,0.0014548446422411895
131,141,0.0014544807045947668
132,295,0.0014438029404828033
133,77,0.0014394142845543542
134,149,0.0014301932593542102
135,134,0.001423196948021934
136,285,0.0014143703098987077
137,175,0.0014089791596759874
138,217,0.0014031777231445653
139,13,0.001399571035126094
140,121,0.0013933056339585925
141,161,0.0013776548162791218
142,37,0.0013769902832255344
143,226,0.001376009175165048
144,118,0.0013750464171047394
145,227,0.0013613939935585202
146,214,0.0013558417878186515
147,206,0.0013554525059659161
148,9,0.0013492861560215896
149,8,0.0013486831311686333
150,85,0.0013413902599344418
151,288,0.0013295687371184064
152,275,0.0013251411164161072
153,283,0.0013231628409387792
154,131,0.001319671879735256
155,242,0.0013067661014648754
156,262,0.0013058481047692671
157,111,0.0013056795354911912
158,120,0.0013053713334324564
159,79,0.0012847768972838345
160,177,0.0012809250357871825
161,181,0.0012648222228250025
162,197,0.0012623014532604812
163,62,0.0012546052338044426
164,180,0.0012507934808891224
165,57,0.0012451593833420398
166,145,0.0012445047881624919
167,142,0.0012434966344246228
168,123,0.0012334780073444869
169,269,0.001231194824965347
170,215,0.001230109294009544
