index,pc,var
84,104,0.0019347640219676571
85,55,0.00192894269287911
86,270,0.0019111554041639854
87,59,0.0019107923213940604
88,57,0.0019067933221552575
89,254,0.0019064820493740928
90,257,0.0019038783822051166
91,23,0.0018893367720039544
92,209,0.0018738840945165438
93,143,0.0018706384525933636
94,226,0.0018687480426964756
95,91,0.0018642679708099372
96,136,0.0018579352871763882
97,228,0.0018528028906453654
98,117,0.0018366479493487648
99,138,0.0018346382248472012
100,86,0.0018307971136404685
101,258,0.0018132653502127283
102,21,0.001809316417308949
103,66,0.0018075775214221213
104,275,0.0018064106195100323
105,202,0.0017994072746372772
106,269,0.0017866569151834101
107,163,0.0017852910082219837
108,24,0.0017757495621892486
109,198,0.0017728830872493053
110,215,0.0017694403360548805
111,248,0.0017583647394128208
112,255,0.001757024934385556
113,185,0.001756243404670876
114,145,0.0017531810066257517
115,28,0.001738584590635197
116,15,0.0017347682783897867
117,262,0.0017340240471630938
118,172,0.001732437016630819
119,195,0.001719250465922422
120,96,0.0017184416246513368
121,180,0.001711079464833806
122,174,0.001698764439181773
123,232,0.0016966805040490379
124,14,0.0016950630609066702
125,183,0.0016885099654014046
126,131,0.0016854733442451116
127,127,0.0016783359223423156
128,245,0.0016629160271228946
129,240,0.0016587217437393825
130,296,0.0016523962025681916
131,276,0.0016458891523208011
132,31,0.0016446495693583105
133,8,0.0016427276836477637
134,65,0.001640851044119194
135,273,0.0016177220126589512
136,45,0.0016079741126652932
137,168,0.0016032080020670634
138,206,0.0015905152410484618
139,271,0.0015898663605678793
140,219,0.0015872170317657137
141,205,0.0015869676602083738
142,210,0.0015856020213230473
143,74,0.0015849023221771357
144,239,0.0015664087223974143
145,56,0.0015661022631620436
146,214,0.0015654977582210418
147,181,0.0015651478551682832
148,84,0.0015622261769966332
149,272,0.0015466112036826793
150,12,0.001533957335365192
151,252,0.0015323540367852381
152,293,0.0015271599565042076
153,220,0.0015268650930937782
154,253,0.0015226724446266516
155,102,0.0015149545077595484
156,268,0.001512588287634165
157,184,0.00150585998441136
158,281,0.0015044035177718797
159,192,0.001498686697306964
160,151,0.0014957219879622623
161,284,0.0014920859155435756
162,159,0.0014830040551671018
163,162,0.001457658378547585
164,213,0.001456164963685875
165,153,0.0014530747530396768
166,142,0.0014417820218675056
167,156,0.0014376373420359322
168,259,0.001433884031014852
169,179,0.001426949881868371
170,267,0.001425965564434117
171,287,0.0014223636144064585
172,120,0.0014205014459246542
173,100,0.001415009271456765
174,130,0.001414362857460846
